STUDY_TYPE_NAME,DEPARTMENT_NAME,STUDY_YEAR,STD_AVG,STD_GRADEAVG,STD_ADDRESS,SEX,AGE,PERCENTAGE,TAW_YEAR,BIRTH_DATE,NORMAL_SMTR_COUNT,SIFI_SMTR_COUNT,GRADUATE_YEAR,STATUS
2,3,2005,82.4,82.4,2,1,21,87.3,2004,1983,8,1,2009,1
1,1,2008,71.2,0.0,1,2,20,74.5,2007,1988,5,0,0,0
2,2,2010,91.3,91.3,2,1,19,92.1,2009,1991,7,2,2014,1
1,3,2006,63.5,0.0,3,2,22,68.9,2005,1984,3,0,0,0
2,4,2012,78.9,78.9,2,1,20,81.2,2011,1992,6,1,2015,1
1,1,2009,85.6,85.6,1,2,21,79.4,2008,1988,8,2,2013,1
2,3,2015,94.2,94.2,2,1,19,95.0,2014,1996,7,0,2018,1
1,2,2011,61.4,0.0,4,2,23,65.3,2010,1988,4,1,0,0
2,1,2007,77.8,77.8,2,1,20,80.5,2006,1987,8,1,2011,1
1,4,2013,69.3,0.0,3,2,22,72.1,2012,1991,5,2,0,0
2,3,2014,88.5,88.5,2,1,21,90.3,2013,1993,8,1,2018,1
2,2,2016,73.6,73.6,1,2,20,76.8,2015,1996,7,0,2019,1
1,1,2010,58.9,0.0,2,1,24,62.4,2009,1986,3,0,0,0
2,4,2008,83.1,83.1,2,2,19,85.7,2007,1989,8,2,2012,1
1,3,2012,76.4,76.4,3,1,22,78.9,2011,1990,9,1,2016,1
2,1,2017,95.8,95.8,2,2,18,96.2,2016,1999,7,0,2020,1
1,2,2014,64.7,0.0,1,1,21,67.3,2013,1993,4,0,0,0
2,3,2011,87.3,87.3,2,1,20,89.1,2010,1991,8,1,2015,1
1,4,2009,70.5,70.5,4,2,23,73.4,2008,1986,7,2,2013,1
2,1,2013,79.6,79.6,2,1,19,82.3,2012,1994,6,1,2016,1
2,2,2006,91.7,91.7,2,2,21,93.4,2005,1985,8,0,2010,1
1,3,2015,62.8,0.0,3,1,24,65.9,2014,1991,3,1,0,0
2,4,2010,84.9,84.9,2,1,20,87.6,2009,1990,7,2,2014,1
1,1,2016,73.2,73.2,1,2,22,75.8,2015,1994,8,1,2020,1
2,3,2018,96.4,96.4,2,1,19,97.1,2017,1999,6,0,2021,1
1,2,2012,68.7,0.0,2,2,21,71.4,2011,1991,5,0,0,0
2,1,2008,80.3,80.3,2,1,20,83.6,2007,1988,8,2,2012,1
